	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
2806	25	20	0,0	0,00035	0,0	0,00458	0,0	0,00414	0,0	2,04284
2807	25	80	0,0	0,00033	0,0	0,00169	0,0	0,00168	0,0	4,29975
2808	25	30	0,0	0,00035	0,0	0,00388	0,0	0,00433	0,0	2,53657
2809	25	90	0,443	0,01025	0,443	0,00977	0,3	0,03323	0,283	8,38059
2810	25	90	0,0	0,00032	0,157	0,0008	0,157	0,00344	0,157	4,53444
2811	25	40	0,0	0,00032	0,0	0,00359	0,0	0,00326	0,0	3,03617
2812	25	50	0,0	0,00034	0,0	0,00318	0,0	0,00288	0,0	3,54334
2813	25	10	0,0	0,00979	0,0	0,00995	0,0	0,00843	0,0	2,22891
2814	25	60	0,0	0,00031	0,0	0,0023	0,0	0,00229	0,0	3,78719
2815	25	70	0,0	0,0003	0,0	0,00193	0,0	0,00188	0,0	4,09868
2816	25	80	0,0	0,00031	0,0	0,0016	0,0	0,00147	0,0	4,29105
2817	25	20	0,0	0,01201	0,0	0,01322	0,0	0,01212	0,0	4,00312
2818	25	40	0,0	0,00575	0,0	0,00604	0,0	0,0054	0,0	2,70184
2819	25	30	0,0	0,01038	0,0	0,01194	0,0	0,01056	0,0	4,20807
2820	25	90	0,0	0,00032	0,297	0,00163	0,297	0,00725	0,297	7,48549
2821	25	50	0,01	0,01107	0,01	0,01227	0,01	0,01147	0,01	5,63093
2822	25	10	0,0	0,01175	0,0	0,01296	0,0	0,01197	0,0	3,13315
2823	25	60	0,033	0,01128	0,033	0,01225	0,033	0,01069	0,033	6,28737
2824	25	70	0,01	0,00881	0,01	0,00939	0,01	0,00876	0,01	6,40238
2825	25	20	0,003	0,00933	0,003	0,01068	0,003	0,01045	0,003	3,29122
2826	25	90	0,453	0,01251	0,473	0,01115	0,36	0,02031	0,263	6,20489
2827	25	30	0,003	0,00873	0,003	0,00973	0,003	0,00965	0,007	3,70857
2828	25	40	0,003	0,00797	0,003	0,00904	0,003	0,00883	0,02	3,78163
2829	25	80	0,147	0,01571	0,147	0,01606	0,147	0,01658	0,143	9,07181
2830	25	50	0,0	0,00773	0,0	0,00847	0,0	0,00791	0,01	4,51622
2831	25	60	0,007	0,00556	0,007	0,0062	0,007	0,0059	0,027	4,03955
2832	25	10	0,0	0,00034	0,0	0,00536	0,0	0,00448	0,0	1,30368
2833	25	80	0,06	0,00553	0,06	0,00508	0,073	0,00534	0,083	3,63485
2834	25	20	0,0	0,00034	0,0	0,00473	0,0	0,00388	0,0	1,95411
2835	25	70	0,007	0,00541	0,007	0,00654	0,037	0,00783	0,027	5,41063
