	Nodes	Option	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
10624	20	4	60	0,547	0,01086	0,547	0,00907	0,021	0,01407	0,553	4,16259
10625	20	4	70	0,547	0,00102	0,547	0,00198	0,021	0,01328	0,521	5,13108
10626	20	4	80	0,553	0,00075	0,553	0,00111	0,026	0,00817	0,547	11,65981
10627	20	4	90	0,6	0,00065	0,6	0,02391	0,1	0,02839	0,484	16,05157
10628	20	4	70	0,632	0,00128	0,632	0,00988	0,111	0,01189	0,111	3,72474
10629	20	4	80	0,653	0,00116	0,653	0,00224	0,132	0,00766	0,132	3,5371
10630	20	4	90	0,784	0,00087	0,784	0,00244	0,363	0,02034	0,279	6,97415
10631	20	4	50	0,463	0,00148	0,463	0,00525	0,021	0,0138	0,0	1,79765
10632	20	4	60	0,463	0,00117	0,463	0,00288	0,1	0,01265	0,0	3,38075
10633	20	4	70	0,463	0,00161	0,463	0,00301	0,021	0,01022	0,0	3,85197
10634	20	4	80	0,489	0,00123	0,489	0,00184	0,205	0,0183	0,032	5,25459
10635	20	4	90	0,489	0,00041	0,563	0,00277	0,237	0,02173	0,132	9,05031
10636	20	4	60	0,584	0,0016	0,584	0,00255	0,058	0,01004	0,063	4,49555
10637	20	4	70	0,584	0,00204	0,584	0,00869	0,058	0,02011	0,074	4,82079
10638	20	4	80	0,595	0,00118	0,595	0,00195	0,068	0,0118	0,053	6,73283
10639	20	4	90	0,589	0,00078	0,589	0,00229	0,189	0,0237	0,111	7,3732
10640	20	4	60	0,553	0,0018	0,553	0,00447	0,032	0,02825	0,547	4,12805
10641	20	4	70	0,553	0,00122	0,553	0,00249	0,032	0,01186	0,5	5,65572
10642	20	4	80	0,574	0,00113	0,574	0,00221	0,053	0,00695	0,6	7,8274
10643	20	4	90	0,626	0,00071	0,626	0,00101	0,105	0,01041	0,537	11,81226
10644	20	4	60	0,542	0,00075	0,542	0,00413	0,505	0,01206	0,0	4,30009
10645	20	4	70	0,542	0,00038	0,542	0,00315	0,505	0,01354	0,0	4,35094
10646	20	4	80	0,542	0,00033	0,542	0,00171	0,505	0,02189	0,0	5,38793
10647	20	4	90	0,542	0,00034	0,574	0,00204	0,574	0,01707	0,032	6,39838
10648	20	4	60	0,558	0,00232	0,558	0,00307	0,032	0,01186	0,526	4,35022
10649	20	4	70	0,558	0,00141	0,558	0,00278	0,032	0,01359	0,532	5,21773
10650	20	4	80	0,558	0,00196	0,558	0,00325	0,1	0,01198	0,532	5,48433
10651	20	4	90	0,726	0,00152	0,726	0,00192	0,316	0,03529	0,742	16,90548
10652	20	4	70	0,605	0,00099	0,605	0,00262	0,079	0,01012	0,095	4,09117
10653	20	4	80	0,605	0,00225	0,605	0,00577	0,079	0,00824	0,084	4,57351
10654	20	4	90	0,647	0,00113	0,647	0,00253	0,195	0,01187	0,126	7,7237
10655	20	4	40	0,342	0,00142	0,342	0,00288	0,005	0,00848	0,005	1,81233
10656	20	4	50	0,342	0,00122	0,342	0,00301	0,005	0,01086	0,005	2,62559
10657	20	4	60	0,342	0,00242	0,342	0,00234	0,005	0,00603	0,016	4,04163
10658	20	4	70	0,342	0,00247	0,342	0,00213	0,005	0,02874	0,005	4,04315
10659	20	4	80	0,342	0,00253	0,342	0,00391	0,026	0,02305	0,026	6,96597
10660	20	4	90	0,368	0,00512	0,495	0,00524	0,195	0,06182	0,184	7,48647
10661	20	4	60	0,526	0,00151	0,526	0,01678	0,021	0,03228	0,053	4,22021
10662	20	4	70	0,532	0,00101	0,532	0,00186	0,026	0,01114	0,074	5,81548
10663	20	4	80	0,532	0,00162	0,532	0,00178	0,026	0,00628	0,084	7,00835
10664	20	4	90	0,632	0,00078	0,632	0,00176	0,184	0,04349	0,379	11,57393
10665	20	4	70	0,621	0,00043	0,616	0,00262	0,1	0,04821	0,526	3,56322
10666	20	4	80	0,621	0,00089	0,616	0,00285	0,1	0,01905	0,526	7,4591
10667	20	4	90	0,621	0,00034	0,695	0,00193	0,474	0,02031	0,605	14,1289
10668	20	4	60	0,537	0,00276	0,537	0,00281	0,016	0,01162	0,537	5,12119
10669	20	4	70	0,537	0,00138	0,537	0,00818	0,016	0,01266	0,542	7,99968
10670	20	4	80	0,542	0,00131	0,542	0,00166	0,021	0,02275	0,363	10,44892
10671	20	4	90	0,547	0,00068	0,547	0,00098	0,1	0,03406	0,342	13,8555
10672	20	4	70	0,689	0,00134	0,689	0,00543	0,211	0,01262	0,211	3,70263
10673	20	4	80	0,705	0,00142	0,705	0,00563	0,226	0,00802	0,247	7,38702
10674	20	4	90	0,689	0,00376	0,689	0,00167	0,179	0,02889	0,232	7,86254
10675	20	4	60	0,511	0,0013	0,511	0,01121	0,032	0,01493	0,0	3,63882
10676	20	4	70	0,516	0,00114	0,516	0,00272	0,037	0,02198	0,005	3,86646
10677	20	4	80	0,532	0,00088	0,532	0,00173	0,132	0,0136	0,063	5,35602
10678	20	4	90	0,532	0,00167	0,532	0,00139	0,053	0,02995	0,063	5,05574
10679	20	4	70	0,621	0,00114	0,621	0,00278	0,1	0,0363	0,011	5,01765
10680	20	4	80	0,637	0,00105	0,637	0,00192	0,116	0,00602	0,016	6,00593
10681	20	4	90	0,653	0,00073	0,653	0,00179	0,237	0,01676	0,1	10,28907
10682	20	4	60	0,579	0,0021	0,579	0,01252	0,074	0,01805	0,547	4,29059
10683	20	4	70	0,589	0,00183	0,589	0,03664	0,084	0,00763	0,558	8,27355
10684	20	4	80	0,6	0,001	0,6	0,00269	0,095	0,008	0,605	8,44658
10685	20	4	90	0,611	0,00122	0,611	0,00124	0,179	0,03009	0,553	11,22845
10686	20	4	50	0,5	0,00364	0,5	0,01939	0,058	0,0132	0,442	4,26826
10687	20	4	60	0,5	0,00164	0,5	0,00404	0,058	0,01768	0,442	5,11639
10688	20	4	70	0,526	0,00126	0,526	0,00418	0,084	0,01818	0,521	7,87432
10689	20	4	80	0,526	0,00141	0,526	0,00266	0,132	0,01209	0,547	7,75859
10690	20	4	90	0,611	0,00205	0,611	0,00213	0,221	0,04933	0,647	11,22657
10691	20	4	60	0,521	0,00323	0,521	0,02413	0,016	0,01244	0,005	2,9989
10692	20	4	70	0,526	0,00142	0,526	0,00318	0,021	0,00775	0,032	4,38316
10693	20	4	80	0,521	0,00157	0,521	0,00192	0,016	0,00944	0,047	5,12999
10694	20	4	90	0,589	0,00082	0,589	0,0014	0,232	0,00915	0,168	7,38795
10695	20	4	10	0,1	0,00144	0,1	0,00643	0,0	0,01874	0,0	0,80056
10696	20	4	20	0,1	0,00051	0,1	0,01023	0,0	0,03197	0,0	1,59832
10697	20	4	30	0,1	0,00035	0,1	0,015	0,0	0,02996	0,0	3,08742
10698	20	4	40	0,1	0,00042	0,1	0,00295	0,0	0,03809	0,0	4,31248
10699	20	4	50	0,1	0,00042	0,1	0,00738	0,0	0,07086	0,0	4,6144
10700	20	4	60	0,1	0,01829	0,1	0,00361	0,0	0,04876	0,0	7,12291
10701	20	4	70	0,1	0,00034	0,1	0,00397	0,0	0,00907	0,0	6,48021
10702	20	4	80	0,1	0,00042	0,1	0,0028	0,0	0,00501	0,0	6,55388
10703	20	4	90	0,1	0,00047	0,284	0,00155	0,184	0,02387	0,184	6,6254
10704	20	4	60	0,568	0,00197	0,568	0,00408	0,047	0,01186	0,521	2,96798
10705	20	4	70	0,568	0,00121	0,568	0,00276	0,053	0,01407	0,521	4,09816
10706	20	4	80	0,568	0,00145	0,568	0,00173	0,053	0,01024	0,521	4,70577
10707	20	4	90	0,653	0,00049	0,653	0,00078	0,142	0,0052	0,605	7,78878
10708	20	4	40	0,4	0,00087	0,4	0,00451	0,005	0,01022	0,005	2,02102
10709	20	4	50	0,4	0,00102	0,4	0,00266	0,005	0,01737	0,005	2,70584
10710	20	4	60	0,4	0,00181	0,4	0,0035	0,005	0,00687	0,016	3,99365
10711	20	4	70	0,405	0,0013	0,405	0,0035	0,011	0,01095	0,026	3,7089
10712	20	4	80	0,479	0,00104	0,479	0,0015	0,105	0,04477	0,116	7,35412
10713	20	4	90	0,479	0,00254	0,479	0,00118	0,084	0,00818	0,105	11,39706
10714	20	4	60	0,568	0,00129	0,568	0,00245	0,047	0,01129	0,016	2,74332
10715	20	4	70	0,563	0,00115	0,563	0,00234	0,042	0,01049	0,021	4,99046
10716	20	4	80	0,568	0,00173	0,568	0,00301	0,047	0,00773	0,084	5,53788
10717	20	4	90	0,584	0,00068	0,584	0,0012	0,1	0,01177	0,179	7,54307
10718	20	4	60	0,547	0,00136	0,547	0,01314	0,026	0,01737	0,026	4,37617
10719	20	4	70	0,547	0,00125	0,547	0,0065	0,026	0,01839	0,042	5,02473
10720	20	4	80	0,563	0,00541	0,563	0,00156	0,042	0,02351	0,105	6,27804
10721	20	4	90	0,595	0,00197	0,595	0,00142	0,142	0,02563	0,195	7,76758
10722	20	4	70	0,642	0,00132	0,642	0,00457	0,374	0,03169	0,642	8,31735
10723	20	4	80	0,653	0,00097	0,653	0,00247	0,384	0,0237	0,484	6,23993
10724	20	4	90	0,653	0,00101	0,653	0,00195	0,321	0,0268	0,5	9,29939
10725	20	4	50	0,484	0,00152	0,484	0,00389	0,005	0,01141	0,011	2,82159
10726	20	4	60	0,484	0,00112	0,484	0,00259	0,005	0,02122	0,032	3,71922
10727	20	4	70	0,484	0,00685	0,484	0,01015	0,005	0,02385	0,021	3,80634
10728	20	4	80	0,547	0,00161	0,547	0,00628	0,068	0,03239	0,111	5,50156
10729	20	4	90	0,484	0,00081	0,484	0,00193	0,037	0,01133	0,063	6,89152
10730	20	4	60	0,521	0,00214	0,521	0,00469	0,0	0,01077	0,521	2,86344
10731	20	4	70	0,521	0,00223	0,521	0,00525	0,0	0,01265	0,521	5,89807
10732	20	4	80	0,532	0,00327	0,532	0,00295	0,011	0,01183	0,542	5,86008
10733	20	4	90	0,537	0,00083	0,537	0,01999	0,2	0,03148	0,458	12,33429
10734	20	4	50	0,5	0,00228	0,5	0,00438	0,021	0,01234	0,479	4,79754
10735	20	4	60	0,5	0,00165	0,5	0,0034	0,021	0,00854	0,484	7,27118
10736	20	4	70	0,5	0,0011	0,5	0,0041	0,021	0,01155	0,484	7,37239
10737	20	4	80	0,505	0,0019	0,505	0,0027	0,2	0,01532	0,521	15,0804
10738	20	4	90	0,505	0,00085	0,505	0,00108	0,305	0,01904	0,411	18,94286
10739	20	4	50	0,442	0,0015	0,442	0,00445	0,0	0,00877	0,005	4,72324
10740	20	4	60	0,447	0,00178	0,447	0,00384	0,005	0,0251	0,011	3,56381
10741	20	4	70	0,442	0,00102	0,442	0,00349	0,0	0,00811	0,016	5,39718
10742	20	4	80	0,447	0,00078	0,447	0,00199	0,105	0,02238	0,032	5,41421
10743	20	4	90	0,516	0,01191	0,516	0,00181	0,105	0,04884	0,526	16,64427
10744	20	4	60	0,568	0,00242	0,568	0,00278	0,063	0,00941	0,511	3,9636
10745	20	4	70	0,568	0,00111	0,568	0,00751	0,063	0,01523	0,511	4,7551
10746	20	4	80	0,621	0,00212	0,621	0,00222	0,116	0,00881	0,579	6,96088
10747	20	4	90	0,647	0,00054	0,647	0,00087	0,195	0,0153	0,605	8,23808
10748	20	4	60	0,505	0,00084	0,505	0,00182	0,0	0,00475	0,0	3,03236
10749	20	4	70	0,505	0,00151	0,505	0,00576	0,0	0,01007	0,0	3,12247
10750	20	4	80	0,537	0,00089	0,537	0,00391	0,032	0,02657	0,032	2,96549
10751	20	4	90	0,542	0,00035	0,579	0,00161	0,111	0,01704	0,111	4,37743
10752	20	4	60	0,542	0,00109	0,542	0,00257	0,016	0,00818	0,542	3,17372
10753	20	4	70	0,542	0,00089	0,542	0,00166	0,016	0,00674	0,547	4,02631
10754	20	4	80	0,553	0,00112	0,553	0,00181	0,026	0,00642	0,568	7,07608
10755	20	4	90	0,616	0,00078	0,616	0,00878	0,158	0,01778	0,6	8,17833
10756	20	4	70	0,611	0,00117	0,611	0,00157	0,089	0,01374	0,532	4,26548
10757	20	4	80	0,626	0,002	0,626	0,0038	0,105	0,01407	0,574	5,31789
10758	20	4	90	0,668	0,00056	0,668	0,00124	0,305	0,01579	0,611	7,8334
10759	20	4	40	0,368	0,00283	0,368	0,00366	0,032	0,01457	0,337	1,85414
10760	20	4	50	0,368	0,00144	0,368	0,00265	0,032	0,01053	0,337	1,83945
10761	20	4	60	0,368	0,00125	0,368	0,00725	0,032	0,01481	0,337	3,02082
10762	20	4	70	0,426	0,00124	0,426	0,00386	0,089	0,02135	0,395	4,56328
